+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[5]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[8]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[9]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[0]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                 design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[10]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[1]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[4]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                 design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[11]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[2]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[6]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                 design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[14]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                 design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[12]/D|
|               clk_fpga_2 |               clk_fpga_0 |                                  design_1_i/Pmod_I2S2_0/U0/Pmod_I2S2_v1_0_S00_AXI_inst/axi_rdata_reg[7]/D|
